(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',2
(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,1
(2Fe-2S)-binding protein,Oceanibulbus indolifex HEL-45,1
(3R)-hydroxymyristoyl-ACP dehydratase,Desulfitobacterium hafniense Y51,1
(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,2
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,1
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1
(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,5
(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,2
(dimethylallyl)adenosine tRNA methylthiotransferase,Aquifex aeolicus VF5,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,4
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,2
(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,3
(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,3
(p)ppGpp synthetase,Clostridium lentocellum DSM 5427,1
(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,1
(p)ppGpp synthetase,Paracoccus denitrificans PD1222,10
(p)ppGpp synthetase I,Frankia sp. CcI3,1
-D / a-ketoglutarate dioxygenase,Ralstonia eutropha JMP134,1
-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,1
-heptose,Haemophilus influenzae 7P49H1,1
037L,Invertebrate iridescent virus 6,1
1,Synechococcus sp. WH 8109,4
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,8
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,4
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseibium sp. TrichSKD4,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseovarius sp. TM1035,1
1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,3
1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,1
1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,1
1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,7
1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,3
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodobacteraceae bacterium KLH11,4
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodococcus erythropolis SK121,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Salmonella enterica subsp. enterica serovar Kentucky str. CDC 191,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Sphingopyxis alaskensis RB2256,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,uncultured Termite group 1 bacterium phylotype Rs-D17,1
1-deoxy-D-xylulose-5-phosphate synthase,Acetobacter pasteurianus IFO 3283-01,1
1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,2
1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,3
1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia pseudomallei 305,1
1-deoxy-D-xylulose-5-phosphate synthase,Desulfotalea psychrophila LSv54,4
1-deoxy-D-xylulose-5-phosphate synthase,Methylobacterium nodulans ORS 2060,2
1-deoxy-D-xylulose-5-phosphate synthase,Methylococcus capsulatus str. Bath,3
1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,2
1-deoxy-D-xylulose-5-phosphate synthase,Rhodococcus jostii RHA1,1
1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,4
1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,10
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. CC9902,7
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. PCC 7335,1
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. WH 7803,4
1-deoxy-D-xylulose-5-phosphate synthase,Thermomicrobium roseum DSM 5159,2
1-deoxy-xylulose 5-phosphate synthase,Thermodesulfovibrio yellowstonii DSM 11347,1
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Methylobacter tundripaludum SV96,1
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,2
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Vibrio sp. Ex25,1
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase.,Alcanivorax borkumensis SK2,3
1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,5
10 Kd chaperone GroES,Pelobacter carbinolicus DSM 2380,1
14-3-3 protein,Tetrahymena thermophila,1
16S rRNA m(7)G-527 methyltransferase,Mucilaginibacter paludis DSM 18603,1
16S rRNA processing protein,Croceibacter atlanticus HTCC2559,1
16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,3
16S rRNA processing protein RimM,Citreicella sp. SE45,4
16S rRNA-processing protein,Synechococcus sp. WH 5701,1
16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,2
16S rRNA-processing protein RimM,Pseudomonas aeruginosa PAO1,1
16S ribosomal RNA methyltransferase RsmE,Synechococcus sp. CC9902,2
1A family penicillin-binding protein,Synechococcus sp. JA-3-3Ab,1
1D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-gluc opyranosidedeacetylase,Thermobispora bispora DSM 43833,1
2''-deoxycytidine 5''-triphosphate deaminase,Bradyrhizobium sp. ORS278,1
2''-deoxycytidine 5''-triphosphate deaminase,Roseobacter sp. MED193,15
2-C-methyl-D-erythritol,Bacillus cereus ATCC 10987,1
2-C-methyl-D-erythritol,Haemophilus somnus 129PT,1
2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1
2-C-methyl-D-erythritol,Pseudomonas syringae pv. tabaci ATCC 11528,4
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Synechococcus sp. WH 8109,7
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gamma proteobacterium HTCC2207,1
2-acyl-glycerophospho-ethanolamine acyltransferase,Rhodopirellula baltica SH 1,2
2-amino-3-ketobutyrate coenzyme A ligase,Colwellia psychrerythraea 34H,1
2-amino-3-ketobutyrate coenzyme A ligase,Enterobacter cloacae subsp. cloacae ATCC 13047,1
2-amino-3-ketobutyrate coenzyme A ligase,Ralstonia pickettii 12D,2
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Methylococcus capsulatus str. Bath,1
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Parvularcula bermudensis HTCC2503,1
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Ruegeria sp. TM1040,4
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Synechococcus sp. WH 8102,5
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Syntrophothermus lipocalidus DSM 12680,1
2-aminoethylphosphonate ABC transport syste,Sinorhizobium meliloti BL225C,1
