,gene function,organism,oualidia_1_counts,phylum,class,order,family
0,(2Fe-2S)-binding,Cupriavidus metallidurans CH34,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1,(2Fe-2S)-binding,Moorella thermoacetica ATCC 39073,1,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
2,(3R)-hydroxymyristoyl-ACP dehydratase,Teredinibacter turnerae T7901,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
3,(3R)-hydroxymyristoyl-[acyl carrier protein,Candidatus Pelagibacter ubique HTCC1002,4,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
4,(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
5,(NiFe) hydrogenase maturation protein HypF,Desulfatibacillum alkenivorans AK-01,1,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
6,(S)-2-hydroxy-acid oxidas,Arabidopsis thaliana,1,Streptophyta,,Brassicales,Brassicaceae
7,(S)-2-hydroxy-acid oxidase,Azospirillum sp. B510,4,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
8,(S)-2-hydroxy-acid oxidase chain D,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,1,Firmicutes,Bacilli,Bacillales,Bacillaceae
9,(acyl-carrier-protein) S-malonyltransferase,Burkholderia sp. CCGE1003,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
10,(dimethylallyl)adenosine tRNA methylthiotransferase,Cyanothece sp. PCC 7425,1,Cyanobacteria,,Oscillatoriales,Cyanothecaceae
11,(dimethylallyl)adenosine tRNA methylthiotransferase,Ehrlichia canis str. Jake,1,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
12,(dimethylallyl)adenosine tRNA methylthiotransferase,Haemophilus influenzae PittEE,1,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
13,(dimethylallyl)adenosine tRNA methylthiotransferase,Jannaschia sp. CCS1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
14,(dimethylallyl)adenosine tRNA methylthiotransferase,Pedobacter heparinus DSM 2366,2,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
15,(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,3,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
16,(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
17,(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
18,(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
19,(p)ppGpp synthetase I,Frankia sp. CcI3,1,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae
20,(p)ppGpp synthetase I (GTP pyrophosphokinase,Candidatus Koribacter versatilis Ellin345,1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae
21,(p)ppgpp synthetase,Oceanithermus profundus DSM 14977,1,,Deinococci,Thermales,Thermaceae
22,-dienoyl-CoA reductase,Glaciecola sp. HTCC2999,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
23,-dienoyl-CoA reductase FadH1,Pseudomonas aeruginosa UCBPP-PA14,2,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
24,-dihydroxy-2-butanone-4-phosphate synthase,Lactobacillus reuteri MM4-1A,1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae
25,-dimethyl-8-ribityllumazine synthase,Desulfitobacterium hafniense Y51,2,Firmicutes,Clostridia,Clostridiales,Peptococcaceae
26,-tetrahydropyridine-,Yersinia pestis biovar Microtus str. 91001,2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
27,1-(5-phosphoribosyl)-5- ((5''-phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,Roseburia intestinalis L1-82,1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
28,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
29,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,4,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
30,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Neisseria meningitidis FAM18,1,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae
31,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Ralstonia eutropha H16,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
32,1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
33,1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,
34,1-acyl-sn-glycerol-3-phosphate acyltransferase,Zunongwangia profunda SM-A87,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
35,1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,3,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
36,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Afipia sp. 1NLS2,3,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
37,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Cylindrospermopsis raciborskii CS-505,2,Cyanobacteria,,Nostocales,Aphanizomenonaceae
